replicate,task_id,position,comparison,delta,bucket
pilot30,task-6905333b74f22949d97ba9a4,1,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9a5,2,repo-scope - control,0.3076923076923077,improved
pilot30,task-6905333b74f22949d97ba9a6,3,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9a7,4,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9a8,5,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9a9,6,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9aa,7,repo-scope - control,-0.08333333333333337,degraded
pilot30,task-6905333b74f22949d97ba9ac,9,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9ae,11,repo-scope - control,-0.08333333333333326,degraded
pilot30,task-6905333b74f22949d97ba9af,12,repo-scope - control,-0.15384615384615385,degraded
pilot30,task-6905333b74f22949d97ba9b2,13,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9d1,2,repo-scope - control,-0.25,degraded
pilot30,task-6905333b74f22949d97ba9d2,3,repo-scope - control,0.09090909090909094,improved
pilot30,task-6905333b74f22949d97ba9d3,4,repo-scope - control,-0.18181818181818177,degraded
pilot30,task-6905333b74f22949d97ba9d4,5,repo-scope - control,-0.09090909090909094,degraded
pilot30,task-6905333b74f22949d97ba9d5,6,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9d6,7,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9d7,8,repo-scope - control,0.15384615384615385,improved
pilot30,task-6905333b74f22949d97ba9d8,9,repo-scope - control,0.16666666666666663,improved
pilot30,task-6905333b74f22949d97ba9d9,10,repo-scope - control,-0.10000000000000009,degraded
pilot30,task-6905333b74f22949d97ba9db,11,repo-scope - control,0.08333333333333326,improved
pilot30,task-6905333b74f22949d97ba9dc,12,repo-scope - control,0.125,improved
pilot30,task-6905333b74f22949d97ba9dd,13,repo-scope - control,0.0,unchanged
pilot30,task-6905333b74f22949d97ba9de,14,repo-scope - control,0.1111111111111111,improved
pilot30,task-6905333b74f22949d97ba9e0,15,repo-scope - control,-0.125,degraded
pilot30,task-6905333b74f22949d97ba9e8,14,repo-scope - control,-0.13333333333333341,degraded
pilot30,task-6905333b74f22949d97baa1d,15,repo-scope - control,0.375,improved
shuffle1,task-6905333b74f22949d97ba9a4,12,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9a5,6,repo-scope - control,-0.07692307692307687,degraded
shuffle1,task-6905333b74f22949d97ba9a6,14,repo-scope - control,0.09090909090909083,improved
shuffle1,task-6905333b74f22949d97ba9a7,15,repo-scope - control,-0.07692307692307687,degraded
shuffle1,task-6905333b74f22949d97ba9a8,10,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9a9,13,repo-scope - control,0.09999999999999998,improved
shuffle1,task-6905333b74f22949d97ba9aa,8,repo-scope - control,0.08333333333333337,improved
shuffle1,task-6905333b74f22949d97ba9ab,9,repo-scope - control,0.1428571428571428,improved
shuffle1,task-6905333b74f22949d97ba9ac,1,repo-scope - control,0.4,improved
shuffle1,task-6905333b74f22949d97ba9ad,4,repo-scope - control,0.09090909090909094,improved
shuffle1,task-6905333b74f22949d97ba9ae,2,repo-scope - control,0.16666666666666663,improved
shuffle1,task-6905333b74f22949d97ba9af,3,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9b2,11,repo-scope - control,0.11111111111111116,improved
shuffle1,task-6905333b74f22949d97ba9d0,12,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9d1,13,repo-scope - control,0.125,improved
shuffle1,task-6905333b74f22949d97ba9d2,5,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9d3,1,repo-scope - control,0.2727272727272727,improved
shuffle1,task-6905333b74f22949d97ba9d4,14,repo-scope - control,-0.09090909090909083,degraded
shuffle1,task-6905333b74f22949d97ba9d5,15,repo-scope - control,0.2142857142857143,improved
shuffle1,task-6905333b74f22949d97ba9d6,9,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9d7,4,repo-scope - control,0.07692307692307698,improved
shuffle1,task-6905333b74f22949d97ba9d8,8,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9d9,6,repo-scope - control,-0.09999999999999998,degraded
shuffle1,task-6905333b74f22949d97ba9db,7,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9dc,10,repo-scope - control,0.0,unchanged
shuffle1,task-6905333b74f22949d97ba9e0,2,repo-scope - control,-0.25,degraded
shuffle1,task-6905333b74f22949d97ba9e8,7,repo-scope - control,-0.13333333333333341,degraded
shuffle1,task-6905333b74f22949d97baa1d,5,repo-scope - control,-0.25,degraded
shuffle2,task-6905333b74f22949d97ba9a5,12,repo-scope - control,-0.15384615384615385,degraded
shuffle2,task-6905333b74f22949d97ba9a6,13,repo-scope - control,0.09090909090909094,improved
shuffle2,task-6905333b74f22949d97ba9a7,2,repo-scope - control,0.07692307692307687,improved
shuffle2,task-6905333b74f22949d97ba9a8,7,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9a9,3,repo-scope - control,0.09999999999999998,improved
shuffle2,task-6905333b74f22949d97ba9aa,11,repo-scope - control,0.16666666666666674,improved
shuffle2,task-6905333b74f22949d97ba9ab,4,repo-scope - control,0.1428571428571428,improved
shuffle2,task-6905333b74f22949d97ba9ac,1,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9ad,15,repo-scope - control,0.18181818181818188,improved
shuffle2,task-6905333b74f22949d97ba9ae,10,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9af,9,repo-scope - control,0.07692307692307687,improved
shuffle2,task-6905333b74f22949d97ba9b2,6,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9d0,11,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9d1,3,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9d2,4,repo-scope - control,-0.18181818181818177,degraded
shuffle2,task-6905333b74f22949d97ba9d3,14,repo-scope - control,-0.09090909090909094,degraded
shuffle2,task-6905333b74f22949d97ba9d4,9,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9d5,12,repo-scope - control,-0.07142857142857151,degraded
shuffle2,task-6905333b74f22949d97ba9d6,2,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9d7,7,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9d8,10,repo-scope - control,0.08333333333333337,improved
shuffle2,task-6905333b74f22949d97ba9d9,6,repo-scope - control,0.20000000000000007,improved
shuffle2,task-6905333b74f22949d97ba9db,5,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9dc,15,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9dd,1,repo-scope - control,0.0,unchanged
shuffle2,task-6905333b74f22949d97ba9de,13,repo-scope - control,-0.2222222222222222,degraded
shuffle2,task-6905333b74f22949d97ba9e0,8,repo-scope - control,0.125,improved
shuffle2,task-6905333b74f22949d97ba9e8,8,repo-scope - control,-0.19999999999999996,degraded
shuffle2,task-6905333b74f22949d97baa1d,5,repo-scope - control,0.125,improved
