replicate,arm,task_id,position,compaction_count,timed_out_during_compaction
pilot30,control,task-6905333b74f22949d97ba9a4,1,0,False
pilot30,control,task-6905333b74f22949d97ba9a5,2,0,False
pilot30,control,task-6905333b74f22949d97ba9a6,3,0,False
pilot30,control,task-6905333b74f22949d97ba9a7,4,0,False
pilot30,control,task-6905333b74f22949d97ba9a8,5,0,False
pilot30,control,task-6905333b74f22949d97ba9a9,6,0,False
pilot30,control,task-6905333b74f22949d97ba9aa,7,0,False
pilot30,control,task-6905333b74f22949d97ba9ab,8,0,False
pilot30,control,task-6905333b74f22949d97ba9ac,9,0,False
pilot30,control,task-6905333b74f22949d97ba9ad,10,0,False
pilot30,control,task-6905333b74f22949d97ba9ae,11,0,False
pilot30,control,task-6905333b74f22949d97ba9af,12,0,False
pilot30,control,task-6905333b74f22949d97ba9b2,13,0,False
pilot30,control,task-6905333b74f22949d97ba9e8,14,0,False
pilot30,control,task-6905333b74f22949d97baa1d,15,0,False
pilot30,control,task-6905333b74f22949d97ba9d0,1,0,False
pilot30,control,task-6905333b74f22949d97ba9d1,2,0,False
pilot30,control,task-6905333b74f22949d97ba9d2,3,0,False
pilot30,control,task-6905333b74f22949d97ba9d3,4,0,False
pilot30,control,task-6905333b74f22949d97ba9d4,5,0,False
pilot30,control,task-6905333b74f22949d97ba9d5,6,0,False
pilot30,control,task-6905333b74f22949d97ba9d6,7,0,False
pilot30,control,task-6905333b74f22949d97ba9d7,8,0,False
pilot30,control,task-6905333b74f22949d97ba9d8,9,0,False
pilot30,control,task-6905333b74f22949d97ba9d9,10,0,False
pilot30,control,task-6905333b74f22949d97ba9db,11,0,False
pilot30,control,task-6905333b74f22949d97ba9dc,12,0,False
pilot30,control,task-6905333b74f22949d97ba9dd,13,0,False
pilot30,control,task-6905333b74f22949d97ba9de,14,0,False
pilot30,control,task-6905333b74f22949d97ba9e0,15,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9a4,1,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9a5,2,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9a6,3,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9a7,4,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9a8,5,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9a9,6,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9aa,7,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9ab,8,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9ac,9,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9ad,10,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9ae,11,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9af,12,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9b2,13,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9e8,14,0,False
pilot30,task-scope,task-6905333b74f22949d97baa1d,15,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d0,1,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d1,2,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d2,3,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d3,4,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d4,5,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d5,6,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d6,7,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d7,8,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d8,9,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9d9,10,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9db,11,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9dc,12,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9dd,13,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9de,14,0,False
pilot30,task-scope,task-6905333b74f22949d97ba9e0,15,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9a4,1,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9a5,2,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9a6,3,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9a7,4,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9a8,5,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9a9,6,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9aa,7,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9ab,8,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9ac,9,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9ad,10,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9ae,11,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9af,12,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9b2,13,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9e8,14,0,False
pilot30,repo-scope,task-6905333b74f22949d97baa1d,15,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d0,1,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d1,2,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d2,3,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d3,4,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d4,5,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d5,6,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d6,7,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d7,8,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d8,9,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d9,10,0,False
