run_dir,replicate,arm,task_id,occurrence,repository,session_id,call_seq,query,n_results,n_via_match,n_via_link,sim_mean,sim_min,sim_max,note_ids,gateway_log_query,gateway_log_n_results,gateway_log_latency_ms,agg_score,reward,control_agg_score,delta,bucket
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,1,SimpleLogin startup dev mode configuration,0,0,0,,,,,SimpleLogin startup dev mode configuration,0.0,32.0,,,1.0,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,2,SimpleLogin startup dev environment configuration,0,0,0,,,,,SimpleLogin startup dev environment configuration,0.0,7.0,,,1.0,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,3,SimpleLogin startup dev mode backend configuration,4,4,0,49.9689875,42.176925999999995,64.38624,9a1b64f2-4487-46c4-b048-5d66695239c6;d2d6fff0-14fd-4f37-a6fd-b99d949553be;335557ea-75de-4375-bff0-9a2cf5b896d5;2514d946-e096-42d2-ad90-eefa5a43a83f,SimpleLogin startup dev mode backend configuration,4.0,108.0,,,1.0,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,4,SimpleLogin startup request handling authentication background jobs,6,5,1,57.454595000000005,46.967130000000004,65.67626,9a1b64f2-4487-46c4-b048-5d66695239c6;e711b188-4581-4be4-991a-e4fdc57b6728;d2d6fff0-14fd-4f37-a6fd-b99d949553be;335557ea-75de-4375-bff0-9a2cf5b896d5;90e1020a-6459-4492-9298-02cd1512b452;2514d946-e096-42d2-ad90-eefa5a43a83f,SimpleLogin startup request handling authentication background jobs,6.0,196.0,,,1.0,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,a52bd429-9ef4-4e53-94fa-697240c286a2,1,custom alias signed suffix validation,6,5,1,40.068233166666666,33.318442,48.73165,90e1020a-6459-4492-9298-02cd1512b452;e711b188-4581-4be4-991a-e4fdc57b6728;9a1b64f2-4487-46c4-b048-5d66695239c6;2514d946-e096-42d2-ad90-eefa5a43a83f;d2d6fff0-14fd-4f37-a6fd-b99d949553be;335557ea-75de-4375-bff0-9a2cf5b896d5,custom alias signed suffix validation,6.0,149.0,0.6153846153846154,0.0,0.6923076923076923,-0.07692307692307687,degraded
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,a52bd429-9ef4-4e53-94fa-697240c286a2,2,custom alias signed suffix validation rate limit quota,0,0,0,,,,,custom alias signed suffix validation rate limit quota,9.0,1143.0,0.6153846153846154,0.0,0.6923076923076923,-0.07692307692307687,degraded
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,1,email privacy anonymous aliases system,0,0,0,,,,,email privacy anonymous aliases system,9.0,1227.0,,,0.8181818181818182,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,2,email privacy system anonymous aliases database migration tables web server email handler,0,0,0,,,,,email privacy system anonymous aliases database migration tables web server email handler,9.0,1818.0,,,0.8181818181818182,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,3,SimpleLogin email alias database migrations table count startup,0,0,0,,,,,SimpleLogin email alias database migrations table count startup,9.0,1311.0,,,0.8181818181818182,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,4,registration login pre-activation error API response status code,0,0,0,,,,,registration login pre-activation error API response status code,9.0,1139.0,,,0.8181818181818182,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,5,email privacy system anonymous aliases database migration tables web server email handler,0,0,0,,,,,,,,,,0.8181818181818182,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,6,SimpleLogin email alias database migrations table count startup,0,0,0,,,,,,,,,,0.8181818181818182,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,7,registration login pre-activation error API response status code,0,0,0,,,,,,,,,,0.8181818181818182,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a7,4,simple-login/app,f23bfea4-3cb4-4dc8-92b8-ee573b3c7888,1,SimpleLogin mailbox verification code task email forwarding,0,0,0,,,,,SimpleLogin mailbox verification code task email forwarding,12.0,1291.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a7,4,simple-login/app,f23bfea4-3cb4-4dc8-92b8-ee573b3c7888,2,SimpleLogin mailbox verification email forwarding VERP,0,0,0,,,,,SimpleLogin mailbox verification email forwarding VERP,12.0,82.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a7,4,simple-login/app,f23bfea4-3cb4-4dc8-92b8-ee573b3c7888,3,mailbox verification tries limits error VERP bounce email forwarding lifecycle Job state,0,0,0,,,,,mailbox verification tries limits error VERP bounce email forwarding lifecycle Job state,12.0,1193.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,573356d7-e35a-4c93-9300-bf936f2face4,1,SimpleLogin codebase Flask startup port,0,0,0,,,,,SimpleLogin codebase Flask startup port,12.0,1205.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,573356d7-e35a-4c93-9300-bf936f2face4,2,SimpleLogin Flask app startup port health check alias API database,0,0,0,,,,,SimpleLogin Flask app startup port health check alias API database,12.0,1113.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,573356d7-e35a-4c93-9300-bf936f2face4,3,health endpoint response body JSON status code,0,0,0,,,,,health endpoint response body JSON status code,12.0,1162.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,573356d7-e35a-4c93-9300-bf936f2face4,4,SimpleLogin runtime behavior Flask startup health check alias API,0,0,0,,,,,SimpleLogin runtime behavior Flask startup health check alias API,12.0,1104.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,573356d7-e35a-4c93-9300-bf936f2face4,5,PostgreSQL connection failure error DB_URI db.py startup failure,0,0,0,,,,,PostgreSQL connection failure error DB_URI db.py startup failure,12.0,1139.0,1.0,1.0,1.0,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a9,6,simple-login/app,f7c5eb17-3667-483b-823b-ad9ef6c78c88,1,SimpleLogin alias reply handling email routing,0,0,0,,,,,SimpleLogin alias reply handling email routing,13.0,1657.0,0.8,0.0,0.6,0.20000000000000007,improved
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a9,6,simple-login/app,f7c5eb17-3667-483b-823b-ad9ef6c78c88,2,SimpleLogin alias reply handling routing,0,0,0,,,,,SimpleLogin alias reply handling routing,13.0,1142.0,0.8,0.0,0.6,0.20000000000000007,improved
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9aa,7,simple-login/app,0c7fc6ee-7770-48ad-a4b1-5410d676c36c,1,SimpleLogin repository structure setup,0,0,0,,,,,SimpleLogin repository structure setup,13.0,362.0,0.6666666666666666,0.0,0.6666666666666666,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9aa,7,simple-login/app,0c7fc6ee-7770-48ad-a4b1-5410d676c36c,2,SimpleLogin health endpoint startup logs web server email handler job runner,0,0,0,,,,,SimpleLogin health endpoint startup logs web server email handler job runner,13.0,1166.0,0.6666666666666666,0.0,0.6666666666666666,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9aa,7,simple-login/app,0c7fc6ee-7770-48ad-a4b1-5410d676c36c,3,SimpleLogin email handler job runner monitoring startup behavior logs,0,0,0,,,,,SimpleLogin email handler job runner monitoring startup behavior logs,13.0,1516.0,0.6666666666666666,0.0,0.6666666666666666,0.0,tied
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9ab,8,simple-login/app,675036b7-224a-4141-ae68-58c4b5d01040,1,SimpleLogin alias creation frontend backend,0,0,0,,,,,SimpleLogin alias creation frontend backend,13.0,1265.0,,,0.7142857142857143,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9ab,8,simple-login/app,675036b7-224a-4141-ae68-58c4b5d01040,2,alias creation database tables events background tasks error handling,0,0,0,,,,,alias creation database tables events background tasks error handling,13.0,1220.0,,,0.7142857142857143,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9ab,8,simple-login/app,675036b7-224a-4141-ae68-58c4b5d01040,3,SimpleLogin alias creation database tables events background tasks error handling,0,0,0,,,,,SimpleLogin alias creation database tables events background tasks error handling,13.0,1199.0,,,0.7142857142857143,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9ab,8,simple-login/app,675036b7-224a-4141-ae68-58c4b5d01040,4,SimpleLogin alias creation frontend request backend response database,0,0,0,,,,,SimpleLogin alias creation frontend request backend response database,13.0,1189.0,,,0.7142857142857143,,
