run_dir,replicate,arm,task_id,occurrence,repository,session_id,call_seq,query,n_results,n_via_match,n_via_link,sim_mean,sim_min,sim_max,note_ids,gateway_log_query,gateway_log_n_results,gateway_log_latency_ms,agg_score,reward,control_agg_score,delta,bucket
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,d362fa11-a8cb-4bb1-a1de-2788bae93c34,1,SimpleLogin backend startup development configuration,0,0,0,,,,,SimpleLogin backend startup development configuration,0,25,,,1.0,,
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,d362fa11-a8cb-4bb1-a1de-2788bae93c34,2,SimpleLogin startup backend dev mode configuration,0,0,0,,,,,SimpleLogin startup backend dev mode configuration,6,94,,,1.0,,
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,492c571c-d757-415f-8c97-e19ad403393e,1,alias creation signed suffix validation rate limiting,0,0,0,,,,,alias creation signed suffix validation rate limiting,6,195,0.6923076923076923,0.0,0.6923076923076923,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,55c27c45-54a7-4cc1-acb2-fe1dba336c0b,1,email privacy anonymous aliases system,0,0,0,,,,,email privacy anonymous aliases system,7,159,0.8181818181818182,0.0,0.8181818181818182,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,55c27c45-54a7-4cc1-acb2-fe1dba336c0b,2,database migrations tables email handler registration,0,0,0,,,,,database migrations tables email handler registration,12,1103,0.8181818181818182,0.0,0.8181818181818182,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a7,4,simple-login/app,1902c506-e522-4de2-bd74-9348c5691b42,1,SimpleLogin codebase repository structure,0,0,0,,,,,SimpleLogin codebase repository structure,12,1682,1.0,1.0,1.0,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,dc2602f2-db53-4d1d-8115-4394df8bda4c,1,SimpleLogin Flask app startup configuration,0,0,0,,,,,SimpleLogin Flask app startup configuration,13,1769,1.0,1.0,1.0,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a9,6,simple-login/app,c5a23804-a070-4fa3-8fcc-f27bdb813be5,1,SimpleLogin alias reply handling email routing,0,0,0,,,,,SimpleLogin alias reply handling email routing,13,1569,0.7,0.0,0.4,0.29999999999999993,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9a9,6,simple-login/app,c5a23804-a070-4fa3-8fcc-f27bdb813be5,2,SimpleLogin handle_reply EmailLog mailbox alias routing,0,0,0,,,,,SimpleLogin handle_reply EmailLog mailbox alias routing,13,1292,0.7,0.0,0.4,0.29999999999999993,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9aa,7,simple-login/app,9ba74797-a911-4b72-aeae-8bc1789dd7e2,1,SimpleLogin repository structure,0,0,0,,,,,SimpleLogin repository structure,13,1242,0.6666666666666666,0.0,0.75,-0.08333333333333337,degraded
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9ab,8,simple-login/app,03eefa04-c9d7-491e-b9b9-bee00e45cfb1,1,SimpleLogin alias creation codebase,0,0,0,,,,,SimpleLogin alias creation codebase,13,1689,0.8571428571428571,0.0,0.8571428571428571,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9ab,8,simple-login/app,03eefa04-c9d7-491e-b9b9-bee00e45cfb1,2,SimpleLogin alias creation flow database tables request response,0,0,0,,,,,SimpleLogin alias creation flow database tables request response,13,1139,0.8571428571428571,0.0,0.8571428571428571,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9ac,9,simple-login/app,fced9cb1-5bf5-4c1b-80c0-a9fe0b261c97,1,SimpleLogin email forwarding message-id log,0,0,0,,,,,SimpleLogin email forwarding message-id log,13,484,0.9,0.0,0.6,0.30000000000000004,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9ad,10,simple-login/app,a3b8a1b5-e0d1-4b58-9f17-e7a5e32f38c6,1,SimpleLogin setup registration dashboard,0,0,0,,,,,SimpleLogin setup registration dashboard,13,1194,0.8181818181818182,0.0,0.6363636363636364,0.18181818181818188,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9ae,11,simple-login/app,211efd73-321a-4bc3-aee8-07f2f24e9831,1,SimpleLogin reply resolution contact forwarding alias,0,0,0,,,,,SimpleLogin reply resolution contact forwarding alias,13,230,0.5833333333333334,0.0,0.6666666666666666,-0.08333333333333326,degraded
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9af,12,simple-login/app,69677615-2d2a-4987-8991-1671d5b91fd2,1,codebase structure development environment,0,0,0,,,,,codebase structure development environment,13,1244,0.9230769230769231,0.0,0.9230769230769231,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9b2,13,simple-login/app,96a2c9ce-bc61-4d2f-8726-bd45ced32d2d,1,bounce email handling SimpleLogin SMTP,0,0,0,,,,,bounce email handling SimpleLogin SMTP,13,1759,1.0,1.0,1.0,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d0,16,paperless-ngx/paperless-ngx,aa357822-79e5-4ea9-8ad0-538c2042e626,1,paperless-ngx architecture tasks scheduler maintenance,0,0,0,,,,,paperless-ngx architecture tasks scheduler maintenance,13,1230,1.0,1.0,,,
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d1,17,paperless-ngx/paperless-ngx,e17008d4-d2b6-4225-866d-87650c7a66dc,1,Paperless-NGX search index synchronization,0,0,0,,,,,Paperless-NGX search index synchronization,13,456,1.0,1.0,1.0,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d1,17,paperless-ngx/paperless-ngx,e17008d4-d2b6-4225-866d-87650c7a66dc,2,Paperless-NGX index synchronization API update signal,0,0,0,,,,,Paperless-NGX index synchronization API update signal,11,1234,1.0,1.0,1.0,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d2,18,paperless-ngx/paperless-ngx,faf1f833-e48a-46f4-81e4-1e36f7da853b,1,paperless-ngx document processing pipeline,0,0,0,,,,,paperless-ngx document processing pipeline,13,1292,0.9090909090909091,0.0,0.9090909090909091,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d2,18,paperless-ngx/paperless-ngx,faf1f833-e48a-46f4-81e4-1e36f7da853b,2,paperless-ngx document metadata required optional derived,0,0,0,,,,,paperless-ngx document metadata required optional derived,9,1159,0.9090909090909091,0.0,0.9090909090909091,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d3,19,paperless-ngx/paperless-ngx,5719a98c-5d7e-43d0-a8be-6654c56556b0,1,paperless-ngx document ingestion pipeline,0,0,0,,,,,paperless-ngx document ingestion pipeline,9,420,1.0,1.0,1.0,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d3,19,paperless-ngx/paperless-ngx,5719a98c-5d7e-43d0-a8be-6654c56556b0,2,paperless-ngx ingestion pipeline classifier training file layout database tables,0,0,0,,,,,paperless-ngx ingestion pipeline classifier training file layout database tables,18,1192,1.0,1.0,1.0,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d4,20,paperless-ngx/paperless-ngx,20adb95d-22a5-42bd-9df3-e1f6151dac77,1,Paperless-NGX runtime background processes tasks,0,0,0,,,,,Paperless-NGX runtime background processes tasks,13,1260,0.9090909090909091,0.0,0.8181818181818182,0.09090909090909083,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d4,20,paperless-ngx/paperless-ngx,20adb95d-22a5-42bd-9df3-e1f6151dac77,2,paperless-ngx background processes runtime log messages periodic tasks qcluster consumer gunicorn,0,0,0,,,,,paperless-ngx background processes runtime log messages periodic tasks qcluster consumer gunicorn,13,1335,0.9090909090909091,0.0,0.8181818181818182,0.09090909090909083,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d5,21,paperless-ngx/paperless-ngx,36f462a0-bc2c-4a17-8e8f-af7927028853,1,Paperless-NGX document ingestion processing pipeline,0,0,0,,,,,Paperless-NGX document ingestion processing pipeline,12,2098,0.42857142857142855,0.0,0.7857142857142857,-0.35714285714285715,degraded
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d6,22,paperless-ngx/paperless-ngx,0d80b0ec-733d-4186-b75c-4939c4fb1033,1,paperless-ngx OCR processing,0,0,0,,,,,paperless-ngx OCR processing,13,1205,0.9,0.0,0.9,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d7,23,paperless-ngx/paperless-ngx,fcb497f8-8aba-4d09-b16d-ff9c7a4b22b3,1,paperless API authentication token,0,0,0,,,,,paperless API authentication token,13,1890,0.8461538461538461,0.0,0.7692307692307693,0.07692307692307687,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d8,24,paperless-ngx/paperless-ngx,afd10221-f326-4167-b7cc-41df0a5bee18,1,document classification machine learning pipeline OCR barcode training tests,0,0,0,,,,,document classification machine learning pipeline OCR barcode training tests,13,431,0.5833333333333334,0.0,0.5833333333333334,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d8,24,paperless-ngx/paperless-ngx,afd10221-f326-4167-b7cc-41df0a5bee18,2,classifier retrain model reuse training data hash confidence threshold OCR no text mime type barcode splitting,0,0,0,,,,,classifier retrain model reuse training data hash confidence threshold OCR no text mime type barcode splitting,13,186,0.5833333333333334,0.0,0.5833333333333334,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d9,25,paperless-ngx/paperless-ngx,9a39e55d-c691-4ea2-9a65-9a879f644606,1,paperless-ngx background processing queue tasks async,0,0,0,,,,,paperless-ngx background processing queue tasks async,13,1448,0.7,0.0,0.8,-0.10000000000000009,degraded
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9d9,25,paperless-ngx/paperless-ngx,9a39e55d-c691-4ea2-9a65-9a879f644606,2,django q task queue broker redis task states job,0,0,0,,,,,django q task queue broker redis task states job,13,512,0.7,0.0,0.8,-0.10000000000000009,degraded
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9db,26,paperless-ngx/paperless-ngx,7095e175-1b52-42cd-be7f-63f113272e3f,1,Paperless-NGX file move tags duplicate classifier,0,0,0,,,,,Paperless-NGX file move tags duplicate classifier,13,1400,0.9166666666666666,0.0,0.8333333333333334,0.08333333333333326,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9dc,27,paperless-ngx/paperless-ngx,8a60324e-f374-4882-86a2-9ef5060f5a68,1,paperless-ngx OCR processing PDF upload,0,0,0,,,,,paperless-ngx OCR processing PDF upload,13,216,0.875,0.0,0.75,0.125,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9dc,27,paperless-ngx/paperless-ngx,8a60324e-f374-4882-86a2-9ef5060f5a68,2,paperless-ngx upload HTTP response status OCRmyPDF archive filename multi-page,0,0,0,,,,,paperless-ngx upload HTTP response status OCRmyPDF archive filename multi-page,13,1548,0.875,0.0,0.75,0.125,improved
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9dd,28,paperless-ngx/paperless-ngx,79ca93b2-4f81-4301-b5ba-04806c4af129,1,Paperless-NGX document ingestion processing workflow,0,0,0,,,,,Paperless-NGX document ingestion processing workflow,13,1266,0.6,0.0,0.6,0.0,tied
20260913T063321.846516847Z-openclaw-sweatlasqa-pilot30-amem-global-sglang,pilot30,global-scope,task-6905333b74f22949d97ba9de,29,paperless-ngx/paperless-ngx,47a3a8ee-7b1c-4e5c-a55e-e1e1347b73fb,1,Paperless document processing memory metadata,0,0,0,,,,,Paperless document processing memory metadata,13,1342,0.5555555555555556,0.0,0.3333333333333333,0.22222222222222227,improved
