replicate,arm,task_id,repository,position,global_position,agg_score,is_failure,inputTokens,outputTokens,runtimeSec,turns
pilot30,control,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,2132486.0,7493.0,677.038,41
pilot30,control,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.6923076923076923,False,2744119.0,11857.0,754.809,71
pilot30,control,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,851.188,49
pilot30,control,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,3158547.0,9089.0,1085.383,85
pilot30,control,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,1.0,False,2565637.0,19793.0,1389.017,49
pilot30,control,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.4,False,4370867.0,15256.0,2206.629,99
pilot30,control,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.75,False,2604065.0,7455.0,987.215,44
pilot30,control,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.8571428571428571,False,3820750.0,8245.0,873.069,87
pilot30,control,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,2748794.0,8014.0,616.937,65
pilot30,control,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.6363636363636364,False,2146413.0,7241.0,570.944,43
pilot30,control,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.6666666666666666,False,3691447.0,9477.0,971.623,83
pilot30,control,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.9230769230769231,False,5209402.0,12230.0,1424.13,99
pilot30,control,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,4454017.0,17179.0,1444.96,100
pilot30,control,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.8,False,,,,121
pilot30,control,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.5,False,1108737.0,10197.0,594.338,33
pilot30,control,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,0.0,True,3804733.0,10258.0,1435.607,105
pilot30,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,1.0,False,1481397.0,6589.0,614.903,47
pilot30,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.9090909090909091,False,1918777.0,7315.0,573.35,53
pilot30,control,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,1.0,False,3780242.0,8959.0,911.445,74
pilot30,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.8181818181818182,False,3093194.0,6230.0,951.302,70
pilot30,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7857142857142857,False,1650842.0,10475.0,425.883,47
pilot30,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.9,False,1149018.0,8837.0,363.314,30
pilot30,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.7692307692307693,False,1027472.0,3932.0,253.152,29
pilot30,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.5833333333333334,False,1494320.0,4291.0,424.29,37
pilot30,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.8,False,2036080.0,6085.0,508.267,54
pilot30,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,0.8333333333333334,False,1052845.0,6462.0,213.581,29
pilot30,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.75,False,1243195.0,7845.0,352.369,25
pilot30,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.6,False,1599305.0,7230.0,573.086,46
pilot30,control,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.3333333333333333,False,2002527.0,8541.0,516.802,40
pilot30,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.625,False,2711562.0,8313.0,664.226,62
pilot30,repo-scope,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,2032515.0,13282.0,1020.902,39
pilot30,repo-scope,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,1.0,False,2261980.0,9172.0,1209.505,59
pilot30,repo-scope,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,5968.026,191
pilot30,repo-scope,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,1946816.0,20767.0,1415.951,60
pilot30,repo-scope,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,1.0,False,2925634.0,15391.0,1284.125,55
pilot30,repo-scope,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.4,False,5623214.0,16600.0,2066.356,117
pilot30,repo-scope,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.6666666666666666,False,,,1807.31,53
pilot30,repo-scope,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.0,True,,,,59
pilot30,repo-scope,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,4502116.0,13001.0,1529.637,95
pilot30,repo-scope,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.0,True,4067599.0,9690.0,1571.29,81
pilot30,repo-scope,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5833333333333334,False,3677613.0,11406.0,1219.829,84
pilot30,repo-scope,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.7692307692307693,False,3101754.0,11439.0,1350.844,65
pilot30,repo-scope,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,1628737.0,8120.0,585.741,51
pilot30,repo-scope,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.6666666666666666,False,2609503.0,10630.0,1043.794,78
pilot30,repo-scope,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.875,False,2002707.0,18713.0,859.438,75
pilot30,repo-scope,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,0.0,True,2445246.0,6594.0,754.661,67
pilot30,repo-scope,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.75,False,1841431.0,10779.0,859.325,66
pilot30,repo-scope,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,1.0,False,2062226.0,6770.0,520.155,53
pilot30,repo-scope,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,0.8181818181818182,False,2162472.0,12518.0,509.689,53
pilot30,repo-scope,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.7272727272727273,False,2377581.0,9941.0,598.72,72
pilot30,repo-scope,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7857142857142857,False,1438650.0,5333.0,324.315,39
