replicate,arm,task_id,repository,position,global_position,agg_score,is_failure,inputTokens,outputTokens,runtimeSec,turns
pilot30,control,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,2132486.0,7493.0,677.038,41
pilot30,control,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.6923076923076923,False,2744119.0,11857.0,754.809,71
pilot30,control,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,851.188,49
pilot30,control,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,3158547.0,9089.0,1085.383,85
pilot30,control,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.4,False,4370867.0,15256.0,2206.629,99
pilot30,control,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.75,False,2604065.0,7455.0,987.215,44
pilot30,control,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,2748794.0,8014.0,616.937,65
pilot30,control,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.6666666666666666,False,3691447.0,9477.0,971.623,83
pilot30,control,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.9230769230769231,False,5209402.0,12230.0,1424.13,99
pilot30,control,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,4454017.0,17179.0,1444.96,100
pilot30,control,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.8,False,,,,121
pilot30,control,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.5,False,1108737.0,10197.0,594.338,33
pilot30,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,1.0,False,1481397.0,6589.0,614.903,47
pilot30,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.9090909090909091,False,1918777.0,7315.0,573.35,53
pilot30,control,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,1.0,False,3780242.0,8959.0,911.445,74
pilot30,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.8181818181818182,False,3093194.0,6230.0,951.302,70
pilot30,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7857142857142857,False,1650842.0,10475.0,425.883,47
pilot30,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.9,False,1149018.0,8837.0,363.314,30
pilot30,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.7692307692307693,False,1027472.0,3932.0,253.152,29
pilot30,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.5833333333333334,False,1494320.0,4291.0,424.29,37
pilot30,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.8,False,2036080.0,6085.0,508.267,54
pilot30,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,0.8333333333333334,False,1052845.0,6462.0,213.581,29
pilot30,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.75,False,1243195.0,7845.0,352.369,25
pilot30,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.6,False,1599305.0,7230.0,573.086,46
pilot30,control,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.3333333333333333,False,2002527.0,8541.0,516.802,40
pilot30,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.625,False,2711562.0,8313.0,664.226,62
pilot30,task-scope,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,0.9,False,2936645.0,8338.0,957.738,55
pilot30,task-scope,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.7692307692307693,False,2558099.0,9056.0,1137.416,67
pilot30,task-scope,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.6363636363636364,False,6837757.0,21507.0,2524.327,128
pilot30,task-scope,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,0.8461538461538461,False,3631281.0,10747.0,2291.73,105
pilot30,task-scope,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.5,False,4181326.0,17010.0,1441.312,93
pilot30,task-scope,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.6666666666666666,False,3187177.0,11949.0,1221.919,89
pilot30,task-scope,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,1.0,False,4979802.0,14101.0,1802.46,110
pilot30,task-scope,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5833333333333334,False,2633554.0,8673.0,987.275,70
pilot30,task-scope,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.9230769230769231,False,,,2479.601,111
pilot30,task-scope,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,3140878.0,14527.0,1415.294,84
pilot30,task-scope,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.7333333333333333,False,4255708.0,8597.0,1286.134,69
pilot30,task-scope,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.375,False,1894578.0,10118.0,697.914,72
pilot30,task-scope,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.75,False,1257646.0,9810.0,492.42,43
pilot30,task-scope,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,1.0,False,2817091.0,10500.0,1082.821,66
pilot30,task-scope,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,1.0,False,1984790.0,7188.0,696.257,51
pilot30,task-scope,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,1.0,False,1749348.0,8827.0,511.74,41
pilot30,task-scope,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.5714285714285714,False,1788524.0,10636.0,458.814,39
pilot30,task-scope,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.8,False,1625659.0,5250.0,353.959,38
pilot30,task-scope,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.8461538461538461,False,1693920.0,7052.0,419.206,55
pilot30,task-scope,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.6666666666666666,False,1309525.0,5238.0,339.283,34
pilot30,task-scope,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.6,False,2977501.0,11478.0,691.071,83
pilot30,task-scope,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,1.0,False,1218491.0,11638.0,392.082,33
pilot30,task-scope,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,1.0,False,5044470.0,15772.0,1128.337,103
pilot30,task-scope,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.5,False,1916591.0,8169.0,573.225,54
