replicate,arm,task_id,repository,repo_block,position,global_position,agg_score,is_failure,inputTokens,outputTokens,runtimeSec,turns
pilot30,control,task-6905333b74f22949d97ba9a5,simple-login/app,0,2,2,0.6923076923076923,False,2744119.0,11857.0,754.809,71
pilot30,control,task-6905333b74f22949d97ba9a6,simple-login/app,0,3,3,0.8181818181818182,False,,,851.188,49
pilot30,control,task-6905333b74f22949d97ba9a7,simple-login/app,0,4,4,1.0,False,3158547.0,9089.0,1085.383,85
pilot30,control,task-6905333b74f22949d97ba9a8,simple-login/app,0,5,5,1.0,False,2565637.0,19793.0,1389.017,49
pilot30,control,task-6905333b74f22949d97ba9a9,simple-login/app,0,6,6,0.4,False,4370867.0,15256.0,2206.629,99
pilot30,control,task-6905333b74f22949d97ba9aa,simple-login/app,0,7,7,0.75,False,2604065.0,7455.0,987.215,44
pilot30,control,task-6905333b74f22949d97ba9ab,simple-login/app,0,8,8,0.8571428571428571,False,3820750.0,8245.0,873.069,87
pilot30,control,task-6905333b74f22949d97ba9ac,simple-login/app,0,9,9,0.6,False,2748794.0,8014.0,616.937,65
pilot30,control,task-6905333b74f22949d97ba9ad,simple-login/app,0,10,10,0.6363636363636364,False,2146413.0,7241.0,570.944,43
pilot30,control,task-6905333b74f22949d97ba9ae,simple-login/app,0,11,11,0.6666666666666666,False,3691447.0,9477.0,971.623,83
pilot30,control,task-6905333b74f22949d97ba9af,simple-login/app,0,12,12,0.9230769230769231,False,5209402.0,12230.0,1424.13,99
pilot30,control,task-6905333b74f22949d97ba9b2,simple-login/app,0,13,13,1.0,False,4454017.0,17179.0,1444.96,100
pilot30,control,task-6905333b74f22949d97ba9e8,simple-login/app,0,14,14,0.8,False,,,,121
pilot30,control,task-6905333b74f22949d97baa1d,simple-login/app,0,15,15,0.5,False,1108737.0,10197.0,594.338,33
pilot30,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,1,2,17,1.0,False,1481397.0,6589.0,614.903,47
pilot30,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,1,3,18,0.9090909090909091,False,1918777.0,7315.0,573.35,53
pilot30,control,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,1,4,19,1.0,False,3780242.0,8959.0,911.445,74
pilot30,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,1,5,20,0.8181818181818182,False,3093194.0,6230.0,951.302,70
pilot30,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,1,6,21,0.7857142857142857,False,1650842.0,10475.0,425.883,47
pilot30,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,1,7,22,0.9,False,1149018.0,8837.0,363.314,30
