replicate,task_id,position,control,global,delta
pilot30,task-6905333b74f22949d97ba9d0,1,0.0,1.0,1.0
pilot30,task-6905333b74f22949d97ba9d1,2,1.0,1.0,0.0
pilot30,task-6905333b74f22949d97ba9d2,3,0.9090909090909091,0.9090909090909091,0.0
pilot30,task-6905333b74f22949d97ba9d3,4,1.0,1.0,0.0
pilot30,task-6905333b74f22949d97ba9d4,5,0.8181818181818182,0.9090909090909091,0.09090909090909083
pilot30,task-6905333b74f22949d97ba9d5,6,0.7857142857142857,0.42857142857142855,-0.35714285714285715
pilot30,task-6905333b74f22949d97ba9d6,7,0.9,0.9,0.0
pilot30,task-6905333b74f22949d97ba9d7,8,0.7692307692307693,0.8461538461538461,0.07692307692307687
pilot30,task-6905333b74f22949d97ba9d8,9,0.5833333333333334,0.5833333333333334,0.0
pilot30,task-6905333b74f22949d97ba9d9,10,0.8,0.7,-0.10000000000000009
pilot30,task-6905333b74f22949d97ba9db,11,0.8333333333333334,0.9166666666666666,0.08333333333333326
pilot30,task-6905333b74f22949d97ba9dc,12,0.75,0.875,0.125
pilot30,task-6905333b74f22949d97ba9dd,13,0.6,0.6,0.0
pilot30,task-6905333b74f22949d97ba9de,14,0.3333333333333333,0.5555555555555556,0.22222222222222227
pilot30,task-6905333b74f22949d97ba9e0,15,0.625,0.375,-0.25
shuffle1,task-6905333b74f22949d97ba9d0,12,1.0,1.0,0.0
shuffle1,task-6905333b74f22949d97ba9d1,13,0.875,0.0,-0.875
shuffle1,task-6905333b74f22949d97ba9d2,5,0.9090909090909091,0.7272727272727273,-0.18181818181818177
shuffle1,task-6905333b74f22949d97ba9d3,1,0.7272727272727273,0.0,-0.7272727272727273
shuffle1,task-6905333b74f22949d97ba9d4,14,0.9090909090909091,0.8181818181818182,-0.09090909090909083
shuffle1,task-6905333b74f22949d97ba9d5,15,0.5,0.0,-0.5
shuffle1,task-6905333b74f22949d97ba9d6,9,0.9,0.9,0.0
shuffle1,task-6905333b74f22949d97ba9d7,4,0.8461538461538461,0.8461538461538461,0.0
shuffle1,task-6905333b74f22949d97ba9d8,8,0.5833333333333334,0.6666666666666666,0.08333333333333326
shuffle1,task-6905333b74f22949d97ba9d9,6,1.0,0.7,-0.30000000000000004
shuffle1,task-6905333b74f22949d97ba9db,7,1.0,0.9166666666666666,-0.08333333333333337
shuffle1,task-6905333b74f22949d97ba9dc,10,1.0,1.0,0.0
shuffle1,task-6905333b74f22949d97ba9dd,3,0.5,0.7,0.19999999999999996
shuffle1,task-6905333b74f22949d97ba9de,11,0.5555555555555556,0.0,-0.5555555555555556
shuffle1,task-6905333b74f22949d97ba9e0,2,0.75,0.625,-0.125
shuffle2,task-6905333b74f22949d97ba9d0,11,1.0,1.0,0.0
shuffle2,task-6905333b74f22949d97ba9d1,3,0.875,1.0,0.125
shuffle2,task-6905333b74f22949d97ba9d2,4,0.9090909090909091,0.8181818181818182,-0.09090909090909083
shuffle2,task-6905333b74f22949d97ba9d3,14,1.0,0.9090909090909091,-0.09090909090909094
shuffle2,task-6905333b74f22949d97ba9d4,9,0.8181818181818182,0.7272727272727273,-0.09090909090909094
shuffle2,task-6905333b74f22949d97ba9d5,12,0.6428571428571429,0.7142857142857143,0.0714285714285714
shuffle2,task-6905333b74f22949d97ba9d6,2,0.9,0.9,0.0
shuffle2,task-6905333b74f22949d97ba9d7,7,0.8461538461538461,0.8461538461538461,0.0
shuffle2,task-6905333b74f22949d97ba9d8,10,0.6666666666666666,0.5,-0.16666666666666663
shuffle2,task-6905333b74f22949d97ba9d9,6,0.6,0.8,0.20000000000000007
shuffle2,task-6905333b74f22949d97ba9db,5,0.9166666666666666,1.0,0.08333333333333337
shuffle2,task-6905333b74f22949d97ba9dc,15,1.0,0.0,-1.0
shuffle2,task-6905333b74f22949d97ba9dd,1,0.4,0.7,0.29999999999999993
shuffle2,task-6905333b74f22949d97ba9de,13,0.4444444444444444,0.0,-0.4444444444444444
shuffle2,task-6905333b74f22949d97ba9e0,8,0.75,0.5,-0.25
