replicate,task_id,repository,position,repo_block,agg_score_control,agg_score_global,is_failure_control,is_failure_global,delta
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,2,0,0.6923076923076923,0.6923076923076923,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,3,0,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9a7,simple-login/app,4,0,1.0,1.0,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9a8,simple-login/app,5,0,1.0,1.0,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9a9,simple-login/app,6,0,0.4,0.7,0.0,0.0,0.29999999999999993
pilot30,task-6905333b74f22949d97ba9aa,simple-login/app,7,0,0.75,0.6666666666666666,0.0,0.0,-0.08333333333333337
pilot30,task-6905333b74f22949d97ba9ab,simple-login/app,8,0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9ac,simple-login/app,9,0,0.6,0.9,0.0,0.0,0.30000000000000004
pilot30,task-6905333b74f22949d97ba9ad,simple-login/app,10,0,0.6363636363636364,0.8181818181818182,0.0,0.0,0.18181818181818188
pilot30,task-6905333b74f22949d97ba9ae,simple-login/app,11,0,0.6666666666666666,0.5833333333333334,0.0,0.0,-0.08333333333333326
pilot30,task-6905333b74f22949d97ba9af,simple-login/app,12,0,0.9230769230769232,0.9230769230769232,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9b2,simple-login/app,13,0,1.0,1.0,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,1,1.0,1.0,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,1,0.9090909090909092,0.9090909090909092,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,1,1.0,1.0,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,1,0.8181818181818182,0.9090909090909092,0.0,0.0,0.09090909090909094
pilot30,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,1,0.7857142857142857,0.4285714285714285,0.0,0.0,-0.3571428571428572
pilot30,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,1,0.9,0.9,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,1,0.7692307692307693,0.8461538461538461,0.0,0.0,0.07692307692307687
pilot30,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,1,0.5833333333333334,0.5833333333333334,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,1,0.8,0.7,0.0,0.0,-0.10000000000000009
pilot30,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,1,0.8333333333333334,0.9166666666666666,0.0,0.0,0.08333333333333326
pilot30,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,1,0.75,0.875,0.0,0.0,0.125
pilot30,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,1,0.6,0.6,0.0,0.0,0.0
pilot30,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,1,0.3333333333333333,0.5555555555555556,0.0,0.0,0.22222222222222227
pilot30,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,1,0.625,0.375,0.0,0.0,-0.25
pilot30,task-6905333b74f22949d97ba9e8,simple-login/app,14,0,0.8,0.5333333333333333,0.0,0.0,-0.2666666666666667
pilot30,task-6905333b74f22949d97baa1d,simple-login/app,15,0,0.5,0.75,0.0,0.0,0.25
shuffle1,task-6905333b74f22949d97ba9a5,simple-login/app,6,0,0.8461538461538461,0.6153846153846154,0.0,0.0,-0.23076923076923073
shuffle1,task-6905333b74f22949d97ba9a6,simple-login/app,14,0,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0
shuffle1,task-6905333b74f22949d97ba9a7,simple-login/app,15,0,1.0,0.9230769230769232,0.0,0.0,-0.07692307692307676
shuffle1,task-6905333b74f22949d97ba9ae,simple-login/app,2,0,0.5,0.6666666666666666,0.0,0.0,0.16666666666666663
