replicate,repository,position,notes_added,chars_added,cum_notes,cum_chars
pilot30,paperless-ngx/paperless-ngx,1,0,0,0,0
pilot30,paperless-ngx/paperless-ngx,2,1,906,1,906
pilot30,paperless-ngx/paperless-ngx,3,0,0,1,906
pilot30,paperless-ngx/paperless-ngx,4,4,3891,5,4797
pilot30,paperless-ngx/paperless-ngx,5,0,0,5,4797
pilot30,paperless-ngx/paperless-ngx,6,0,0,5,4797
pilot30,paperless-ngx/paperless-ngx,7,0,0,5,4797
pilot30,paperless-ngx/paperless-ngx,8,5,2110,10,6907
pilot30,paperless-ngx/paperless-ngx,9,5,3396,15,10303
pilot30,paperless-ngx/paperless-ngx,10,1,1897,16,12200
pilot30,paperless-ngx/paperless-ngx,11,5,4268,21,16468
pilot30,paperless-ngx/paperless-ngx,12,3,2674,24,19142
pilot30,paperless-ngx/paperless-ngx,13,0,0,24,19142
pilot30,paperless-ngx/paperless-ngx,14,2,1196,26,20338
pilot30,paperless-ngx/paperless-ngx,15,1,788,27,21126
pilot30,simple-login/app,1,6,2973,6,2973
pilot30,simple-login/app,2,1,1420,7,4393
pilot30,simple-login/app,3,3,1253,10,5646
pilot30,simple-login/app,4,4,2625,14,8271
pilot30,simple-login/app,5,3,2016,17,10287
pilot30,simple-login/app,6,0,0,17,10287
pilot30,simple-login/app,7,1,436,18,10723
pilot30,simple-login/app,8,3,3837,21,14560
pilot30,simple-login/app,9,1,1050,22,15610
pilot30,simple-login/app,10,4,6049,26,21659
pilot30,simple-login/app,11,1,1256,27,22915
pilot30,simple-login/app,12,1,508,28,23423
pilot30,simple-login/app,13,1,1557,29,24980
pilot30,simple-login/app,14,9,4113,38,29093
pilot30,simple-login/app,15,1,439,39,29532
shuffle1,paperless-ngx/paperless-ngx,1,2,4632,2,4632
shuffle1,paperless-ngx/paperless-ngx,2,1,668,3,5300
shuffle1,paperless-ngx/paperless-ngx,3,0,0,3,5300
shuffle1,paperless-ngx/paperless-ngx,4,1,1104,4,6404
shuffle1,paperless-ngx/paperless-ngx,5,3,4204,7,10608
shuffle1,paperless-ngx/paperless-ngx,6,0,0,7,10608
shuffle1,paperless-ngx/paperless-ngx,7,0,0,7,10608
shuffle1,paperless-ngx/paperless-ngx,8,4,3328,11,13936
shuffle1,paperless-ngx/paperless-ngx,9,4,2515,15,16451
shuffle1,paperless-ngx/paperless-ngx,10,3,2718,18,19169
shuffle1,paperless-ngx/paperless-ngx,11,1,359,19,19528
shuffle1,paperless-ngx/paperless-ngx,12,1,982,20,20510
shuffle1,paperless-ngx/paperless-ngx,13,3,2770,23,23280
shuffle1,paperless-ngx/paperless-ngx,14,0,0,23,23280
shuffle1,paperless-ngx/paperless-ngx,15,1,385,24,23665
shuffle1,simple-login/app,1,1,889,1,889
shuffle1,simple-login/app,2,3,3803,4,4692
shuffle1,simple-login/app,3,3,1995,7,6687
shuffle1,simple-login/app,4,2,1955,9,8642
shuffle1,simple-login/app,5,2,1659,11,10301
shuffle1,simple-login/app,6,4,3167,15,13468
shuffle1,simple-login/app,7,1,707,16,14175
shuffle1,simple-login/app,8,0,0,16,14175
shuffle1,simple-login/app,9,1,3459,17,17634
shuffle1,simple-login/app,10,1,2371,18,20005
shuffle1,simple-login/app,11,1,3526,19,23531
shuffle1,simple-login/app,12,1,2441,20,25972
shuffle1,simple-login/app,13,0,0,20,25972
shuffle1,simple-login/app,14,5,1973,25,27945
shuffle1,simple-login/app,15,4,3981,29,31926
shuffle2,paperless-ngx/paperless-ngx,1,1,1636,1,1636
shuffle2,paperless-ngx/paperless-ngx,2,1,954,2,2590
shuffle2,paperless-ngx/paperless-ngx,3,0,0,2,2590
shuffle2,paperless-ngx/paperless-ngx,4,2,1119,4,3709
shuffle2,paperless-ngx/paperless-ngx,5,6,5640,10,9349
shuffle2,paperless-ngx/paperless-ngx,6,0,0,10,9349
shuffle2,paperless-ngx/paperless-ngx,7,3,1500,13,10849
shuffle2,paperless-ngx/paperless-ngx,8,3,2356,16,13205
shuffle2,paperless-ngx/paperless-ngx,9,0,0,16,13205
shuffle2,paperless-ngx/paperless-ngx,10,4,2598,20,15803
shuffle2,paperless-ngx/paperless-ngx,11,1,1928,21,17731
shuffle2,paperless-ngx/paperless-ngx,12,0,0,21,17731
shuffle2,paperless-ngx/paperless-ngx,13,2,1746,23,19477
shuffle2,paperless-ngx/paperless-ngx,14,2,1827,25,21304
shuffle2,paperless-ngx/paperless-ngx,15,0,0,25,21304
shuffle2,simple-login/app,1,1,2312,1,2312
shuffle2,simple-login/app,2,5,3030,6,5342
shuffle2,simple-login/app,3,1,726,7,6068
shuffle2,simple-login/app,4,2,3275,9,9343
shuffle2,simple-login/app,5,0,0,9,9343
shuffle2,simple-login/app,6,3,1577,12,10920
shuffle2,simple-login/app,7,1,1155,13,12075
shuffle2,simple-login/app,8,5,4067,18,16142
shuffle2,simple-login/app,9,3,1951,21,18093
shuffle2,simple-login/app,10,3,2474,24,20567
shuffle2,simple-login/app,11,0,0,24,20567
shuffle2,simple-login/app,12,1,2208,25,22775
shuffle2,simple-login/app,13,2,1540,27,24315
shuffle2,simple-login/app,14,1,1419,28,25734
shuffle2,simple-login/app,15,4,3242,32,28976
