replicate,repository,position,similarity
pilot30,simple-login/app,1,67
pilot30,simple-login/app,1,60
pilot30,simple-login/app,1,57
pilot30,simple-login/app,1,57
pilot30,simple-login/app,1,58
pilot30,simple-login/app,1,56
pilot30,simple-login/app,2,46
pilot30,simple-login/app,2,38
pilot30,simple-login/app,2,36
pilot30,simple-login/app,2,36
pilot30,simple-login/app,2,36
pilot30,simple-login/app,2,33
pilot30,simple-login/app,3,50
pilot30,simple-login/app,3,40
pilot30,simple-login/app,3,46
pilot30,simple-login/app,3,45
pilot30,simple-login/app,3,46
pilot30,simple-login/app,3,49
pilot30,simple-login/app,3,43
pilot30,simple-login/app,3,72
pilot30,simple-login/app,3,61
pilot30,simple-login/app,3,70
pilot30,simple-login/app,3,64
pilot30,simple-login/app,3,63
pilot30,simple-login/app,3,60
pilot30,simple-login/app,3,63
pilot30,simple-login/app,3,44
pilot30,simple-login/app,3,57
pilot30,simple-login/app,3,63
pilot30,simple-login/app,4,53
pilot30,simple-login/app,4,64
pilot30,simple-login/app,4,60
pilot30,simple-login/app,4,55
pilot30,simple-login/app,4,57
pilot30,simple-login/app,4,50
pilot30,simple-login/app,4,45
pilot30,simple-login/app,4,56
pilot30,simple-login/app,4,53
pilot30,simple-login/app,4,52
pilot30,simple-login/app,4,43
pilot30,simple-login/app,4,53
pilot30,simple-login/app,4,46
pilot30,simple-login/app,4,36
pilot30,simple-login/app,4,43
pilot30,simple-login/app,4,39
pilot30,simple-login/app,4,43
pilot30,simple-login/app,4,43
pilot30,simple-login/app,4,39
pilot30,simple-login/app,4,34
pilot30,simple-login/app,5,50
pilot30,simple-login/app,5,67
pilot30,simple-login/app,5,59
pilot30,simple-login/app,5,64
pilot30,simple-login/app,5,63
pilot30,simple-login/app,5,54
pilot30,simple-login/app,5,45
pilot30,simple-login/app,5,57
pilot30,simple-login/app,5,59
pilot30,simple-login/app,5,53
pilot30,simple-login/app,5,41
pilot30,simple-login/app,5,30
pilot30,simple-login/app,5,36
pilot30,simple-login/app,5,65
pilot30,simple-login/app,5,64
pilot30,simple-login/app,5,46
pilot30,simple-login/app,5,51
pilot30,simple-login/app,5,44
pilot30,simple-login/app,5,58
pilot30,simple-login/app,5,47
pilot30,simple-login/app,5,50
pilot30,simple-login/app,5,51
