replicate,repository,position,notes,chars
pilot30,simple-login/app,1,4,2916
pilot30,simple-login/app,2,3,2075
pilot30,simple-login/app,3,2,1460
pilot30,simple-login/app,4,3,1840
pilot30,simple-login/app,5,4,1208
pilot30,simple-login/app,6,2,1241
pilot30,simple-login/app,7,2,1652
pilot30,simple-login/app,8,3,2411
pilot30,simple-login/app,9,5,2480
pilot30,simple-login/app,10,6,2655
pilot30,simple-login/app,11,5,2768
pilot30,simple-login/app,12,1,352
pilot30,simple-login/app,13,3,1513
pilot30,simple-login/app,14,7,3512
pilot30,simple-login/app,15,2,1136
pilot30,paperless-ngx/paperless-ngx,1,7,4540
pilot30,paperless-ngx/paperless-ngx,2,1,434
pilot30,paperless-ngx/paperless-ngx,3,4,3545
pilot30,paperless-ngx/paperless-ngx,4,2,1107
pilot30,paperless-ngx/paperless-ngx,5,2,1023
pilot30,paperless-ngx/paperless-ngx,6,5,4261
pilot30,paperless-ngx/paperless-ngx,7,1,398
pilot30,paperless-ngx/paperless-ngx,8,1,722
pilot30,paperless-ngx/paperless-ngx,9,0,0
pilot30,paperless-ngx/paperless-ngx,10,2,1100
pilot30,paperless-ngx/paperless-ngx,11,1,266
pilot30,paperless-ngx/paperless-ngx,12,2,2113
pilot30,paperless-ngx/paperless-ngx,13,2,1681
pilot30,paperless-ngx/paperless-ngx,14,2,3937
pilot30,paperless-ngx/paperless-ngx,15,2,1027
shuffle1,simple-login/app,1,3,2886
shuffle1,simple-login/app,2,2,1624
shuffle1,simple-login/app,3,2,1003
shuffle1,simple-login/app,4,4,2738
shuffle1,simple-login/app,5,1,678
shuffle1,simple-login/app,6,4,3124
shuffle1,simple-login/app,7,7,4110
shuffle1,simple-login/app,8,3,1942
shuffle1,simple-login/app,9,2,2256
shuffle1,simple-login/app,10,1,765
shuffle1,simple-login/app,11,2,1383
shuffle1,simple-login/app,12,4,2348
shuffle1,simple-login/app,13,2,1238
shuffle1,simple-login/app,14,6,2582
shuffle1,simple-login/app,15,4,2502
shuffle1,paperless-ngx/paperless-ngx,1,2,1580
shuffle1,paperless-ngx/paperless-ngx,2,0,0
shuffle1,paperless-ngx/paperless-ngx,3,1,1296
shuffle1,paperless-ngx/paperless-ngx,4,2,1097
shuffle1,paperless-ngx/paperless-ngx,5,3,3031
shuffle1,paperless-ngx/paperless-ngx,6,5,2631
shuffle1,paperless-ngx/paperless-ngx,7,3,2351
shuffle1,paperless-ngx/paperless-ngx,8,9,3909
shuffle1,paperless-ngx/paperless-ngx,9,3,1347
shuffle1,paperless-ngx/paperless-ngx,10,2,1776
shuffle1,paperless-ngx/paperless-ngx,11,7,1819
shuffle1,paperless-ngx/paperless-ngx,12,6,2977
shuffle1,paperless-ngx/paperless-ngx,13,8,2418
shuffle1,paperless-ngx/paperless-ngx,14,2,1453
shuffle1,paperless-ngx/paperless-ngx,15,1,1582
shuffle2,simple-login/app,1,1,1507
shuffle2,simple-login/app,2,4,2146
shuffle2,simple-login/app,3,0,0
shuffle2,simple-login/app,4,5,3008
shuffle2,simple-login/app,5,3,2304
shuffle2,simple-login/app,6,1,664
shuffle2,simple-login/app,7,1,864
shuffle2,simple-login/app,8,6,2894
shuffle2,simple-login/app,9,1,605
shuffle2,simple-login/app,10,2,1417
shuffle2,simple-login/app,11,7,2096
shuffle2,simple-login/app,12,2,1164
shuffle2,simple-login/app,13,4,6259
shuffle2,simple-login/app,14,5,3446
shuffle2,simple-login/app,15,1,1065
shuffle2,paperless-ngx/paperless-ngx,1,3,1595
shuffle2,paperless-ngx/paperless-ngx,2,1,1146
shuffle2,paperless-ngx/paperless-ngx,3,2,1320
shuffle2,paperless-ngx/paperless-ngx,4,0,0
shuffle2,paperless-ngx/paperless-ngx,5,5,3649
shuffle2,paperless-ngx/paperless-ngx,6,6,2703
shuffle2,paperless-ngx/paperless-ngx,7,4,1702
shuffle2,paperless-ngx/paperless-ngx,8,1,764
shuffle2,paperless-ngx/paperless-ngx,9,5,2772
shuffle2,paperless-ngx/paperless-ngx,10,3,1985
shuffle2,paperless-ngx/paperless-ngx,11,6,3074
shuffle2,paperless-ngx/paperless-ngx,12,2,3448
shuffle2,paperless-ngx/paperless-ngx,13,2,1664
shuffle2,paperless-ngx/paperless-ngx,14,5,4245
shuffle2,paperless-ngx/paperless-ngx,15,1,1335
