replicate,arm,task_id,repository,position,global_position,agg_score,is_failure,inputTokens,outputTokens,totalTokens,totalTokens_raw,runtimeSec,turns
ctxlimit,control,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,,,1605595,54573.0,1187.64,40
ctxlimit,control,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.6923076923076923,False,,,2352857,59034.0,1393.31,54
ctxlimit,control,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,20802707,71700.0,,341
ctxlimit,control,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,,,2402435,55392.0,1433.403,63
ctxlimit,control,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,1.0,False,,,1562089,58896.0,1200.754,38
ctxlimit,control,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.6,False,,,1928775,58297.0,1134.875,50
ctxlimit,control,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.6666666666666666,False,,,16185108,8079145.0,,372
ctxlimit,control,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.7142857142857143,False,,,6756341,42550.0,,156
ctxlimit,control,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,,,1921630,54614.0,1519.097,50
ctxlimit,control,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.8181818181818182,False,,,2493067,32177.0,,59
ctxlimit,control,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5833333333333334,False,,,1236175,39276.0,,41
ctxlimit,control,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.8461538461538461,False,,,4391600,47942.0,,113
ctxlimit,control,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,1899246.0,8421.0,1907667,47837.0,2149.044,57
ctxlimit,control,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.7333333333333333,False,,,3767016,62301.0,2432.282,84
ctxlimit,control,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.875,False,,,1488555,54493.0,1463.081,37
ctxlimit,control,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,1.0,False,,,2746477,53399.0,2000.018,78
ctxlimit,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.875,False,,,1278660,49251.0,1080.77,37
ctxlimit,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.9090909090909091,False,,,3446178,3437810.0,,96
ctxlimit,control,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,0.0,False,,,8689109,4331236.0,,210
ctxlimit,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.0,True,,,15043394,7518266.0,,362
ctxlimit,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7142857142857143,False,,,1049548,52622.0,1155.207,31
ctxlimit,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.8,False,,,1815778,32819.0,,50
ctxlimit,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.7692307692307693,False,457582.0,3372.0,460954,34428.0,694.502,19
ctxlimit,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.0,True,,,2973759,2969596.0,,79
ctxlimit,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.9,False,,,1738097,47564.0,1518.515,55
