replicate,arm,task_id,repository,position,global_position,agg_score,is_failure,inputTokens,outputTokens,totalTokens,totalTokens_raw,runtimeSec,turns
ctxlimit,control,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,,,1605595,54573.0,1187.64,40
ctxlimit,control,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.6923076923076923,False,,,2352857,59034.0,1393.31,54
ctxlimit,control,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,20802707,71700.0,,341
ctxlimit,control,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,,,2402435,55392.0,1433.403,63
ctxlimit,control,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,1.0,False,,,1562089,58896.0,1200.754,38
ctxlimit,control,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.6,False,,,1928775,58297.0,1134.875,50
ctxlimit,control,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,,,1921630,54614.0,1519.097,50
ctxlimit,control,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5833333333333334,False,,,1236175,39276.0,,41
ctxlimit,control,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.8461538461538461,False,,,4391600,47942.0,,113
ctxlimit,control,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,1899246.0,8421.0,1907667,47837.0,2149.044,57
ctxlimit,control,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.7333333333333333,False,,,3767016,62301.0,2432.282,84
ctxlimit,control,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.875,False,,,1488555,54493.0,1463.081,37
ctxlimit,control,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,1.0,False,,,2746477,53399.0,2000.018,78
ctxlimit,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.875,False,,,1278660,49251.0,1080.77,37
ctxlimit,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.9090909090909091,False,,,3446178,3437810.0,,96
ctxlimit,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7142857142857143,False,,,1049548,52622.0,1155.207,31
ctxlimit,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.8,False,,,1815778,32819.0,,50
ctxlimit,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.7692307692307693,False,457582.0,3372.0,460954,34428.0,694.502,19
ctxlimit,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.9,False,,,1738097,47564.0,1518.515,55
ctxlimit,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.875,False,,,2304546,48386.0,1301.342,70
ctxlimit,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.5,False,,,4015103,60966.0,1335.049,99
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,,,2217613,55784.0,,56
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.9230769230769231,False,1345597.0,8403.0,1354000,46296.0,625.765,42
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,6690300,46026.0,,133
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,,,6669813,59816.0,,176
