task_id,control_full,control_ctxlimit,repo-scope_full,repo-scope_ctxlimit
task-6905333b74f22949d97ba9a4,1.0,1.0,1.0,0.7
task-6905333b74f22949d97ba9a5,0.7692307692307692,0.6923076923076923,0.7948717948717948,0.75
task-6905333b74f22949d97ba9a6,0.7575757575757577,0.4909090909090909,0.8181818181818182,0.6181818181818182
task-6905333b74f22949d97ba9a7,0.9743589743589745,1.0,0.9743589743589745,1.0
task-6905333b74f22949d97ba9a8,1.0,0.96,1.0,0.975
task-6905333b74f22949d97ba9a9,0.4666666666666666,0.6,0.5333333333333333,0.48
task-6905333b74f22949d97ba9aa,0.7222222222222222,0.5,0.7777777777777778,0.2166666666666667
task-6905333b74f22949d97ba9ab,0.7619047619047619,0.42857142857142855,0.8571428571428571,0.4107142857142857
task-6905333b74f22949d97ba9ac,0.6,0.48,0.7333333333333334,0.675
task-6905333b74f22949d97ba9ad,0.6363636363636364,0.7090909090909091,0.7727272727272727,0.18181818181818182
task-6905333b74f22949d97ba9ae,0.611111111111111,0.6,0.6388888888888888,0.5
task-6905333b74f22949d97ba9af,0.8205128205128206,0.7230769230769231,0.7948717948717948,0.9487179487179488
task-6905333b74f22949d97ba9b2,0.9629629629629629,1.0,1.0,0.8888888888888888
task-6905333b74f22949d97ba9d0,1.0,1.0,1.0,0.5529411764705883
task-6905333b74f22949d97ba9d1,0.9166666666666666,0.9,0.875,0.9
task-6905333b74f22949d97ba9d2,0.9090909090909091,0.7272727272727273,0.8787878787878788,0.6590909090909091
task-6905333b74f22949d97ba9d3,0.9090909090909092,0.0,0.9090909090909092,0.6545454545454545
task-6905333b74f22949d97ba9d4,0.8484848484848485,0.3090909090909091,0.787878787878788,0.8545454545454545
task-6905333b74f22949d97ba9d5,0.6428571428571429,0.5428571428571429,0.6904761904761904,0.7857142857142857
task-6905333b74f22949d97ba9d6,0.9,0.86,0.9,0.9400000000000001
task-6905333b74f22949d97ba9d7,0.8205128205128206,0.8,0.8974358974358975,0.876923076923077
task-6905333b74f22949d97ba9d8,0.6111111111111112,0.13333333333333333,0.6944444444444445,0.35
task-6905333b74f22949d97ba9d9,0.7999999999999999,0.8400000000000001,0.7999999999999999,0.75
task-6905333b74f22949d97ba9db,0.9166666666666666,0.8,0.9444444444444443,0.5
task-6905333b74f22949d97ba9dc,0.9166666666666666,0.525,0.9583333333333334,0.75
task-6905333b74f22949d97ba9dd,0.5,0.55,0.5,0.36
task-6905333b74f22949d97ba9de,0.4444444444444444,0.0,0.3333333333333333,0.0
task-6905333b74f22949d97ba9e0,0.7083333333333334,0.5,0.625,0.65
task-6905333b74f22949d97ba9e8,0.7777777777777778,0.6833333333333333,0.6222222222222222,0.31666666666666665
task-6905333b74f22949d97baa1d,0.6666666666666666,0.875,0.75,0.875
