condition,replicate,arm,task_id,agg_score,is_failure,failure_cause,totalTokens,totalTokens_raw,runtimeSec,turns,n_compact,agg_score_excl
full,pilot30,control,task-6905333b74f22949d97ba9a4,1.0,False,,2139979,67898.0,677.038,41,0,1.0
full,pilot30,control,task-6905333b74f22949d97ba9a5,0.6923076923076923,False,,2755976,55151.0,754.809,71,0,0.6923076923076923
full,pilot30,control,task-6905333b74f22949d97ba9a6,0.8181818181818182,False,,1953475,115290.0,851.188,49,0,0.8181818181818182
full,pilot30,control,task-6905333b74f22949d97ba9a7,1.0,False,,3167636,58026.0,1085.383,85,0,1.0
full,pilot30,control,task-6905333b74f22949d97ba9a8,1.0,False,,2585430,77516.0,1389.017,49,0,1.0
full,pilot30,control,task-6905333b74f22949d97ba9a9,0.4,False,,4386123,64126.0,2206.629,99,0,0.4
full,pilot30,control,task-6905333b74f22949d97ba9aa,0.75,False,,2611520,82100.0,987.215,44,0,0.75
full,pilot30,control,task-6905333b74f22949d97ba9ab,0.8571428571428571,False,,3828995,62399.0,873.069,87,0,0.8571428571428571
full,pilot30,control,task-6905333b74f22949d97ba9ac,0.6,False,,2756808,60608.0,616.937,65,0,0.6
full,pilot30,control,task-6905333b74f22949d97ba9ad,0.6363636363636364,False,,2153654,76729.0,570.944,43,0,0.6363636363636364
full,pilot30,control,task-6905333b74f22949d97ba9ae,0.6666666666666666,False,,3700924,63234.0,971.623,83,0,0.6666666666666666
full,pilot30,control,task-6905333b74f22949d97ba9af,0.9230769230769231,False,,5221632,75699.0,1424.13,99,0,0.9230769230769231
full,pilot30,control,task-6905333b74f22949d97ba9b2,1.0,False,,4471196,70103.0,1444.96,100,0,1.0
full,pilot30,control,task-6905333b74f22949d97ba9e8,0.8,False,,5162403,107338.0,,121,0,0.8
full,pilot30,control,task-6905333b74f22949d97baa1d,0.5,False,,1118934,49327.0,594.338,33,0,0.5
full,pilot30,control,task-6905333b74f22949d97ba9d0,0.0,True,other,3814991,57861.0,1435.607,105,0,
full,pilot30,control,task-6905333b74f22949d97ba9d1,1.0,False,,1487986,43836.0,614.903,47,0,1.0
full,pilot30,control,task-6905333b74f22949d97ba9d2,0.9090909090909091,False,,1926092,55916.0,573.35,53,0,0.9090909090909091
full,pilot30,control,task-6905333b74f22949d97ba9d3,1.0,False,,3789201,76771.0,911.445,74,0,1.0
full,pilot30,control,task-6905333b74f22949d97ba9d4,0.8181818181818182,False,,3099424,67162.0,951.302,70,0,0.8181818181818182
full,pilot30,control,task-6905333b74f22949d97ba9d5,0.7857142857142857,False,,1661317,53369.0,425.883,47,0,0.7857142857142857
full,pilot30,control,task-6905333b74f22949d97ba9d6,0.9,False,,1157855,62314.0,363.314,30,0,0.9
full,pilot30,control,task-6905333b74f22949d97ba9d7,0.7692307692307693,False,,1031404,46566.0,253.152,29,0,0.7692307692307693
full,pilot30,control,task-6905333b74f22949d97ba9d8,0.5833333333333334,False,,1498611,62522.0,424.29,37,0,0.5833333333333334
full,pilot30,control,task-6905333b74f22949d97ba9d9,0.8,False,,2030678,61552.0,508.267,54,0,0.8
full,pilot30,control,task-6905333b74f22949d97ba9db,0.8333333333333334,False,,1059307,54122.0,213.581,29,0,0.8333333333333334
full,pilot30,control,task-6905333b74f22949d97ba9dc,0.75,False,,1251040,79564.0,352.369,25,0,0.75
full,pilot30,control,task-6905333b74f22949d97ba9dd,0.6,False,,1606535,52885.0,573.086,46,0,0.6
full,pilot30,control,task-6905333b74f22949d97ba9de,0.3333333333333333,False,,2011068,68941.0,516.802,40,0,0.3333333333333333
full,pilot30,control,task-6905333b74f22949d97ba9e0,0.625,False,,2719875,61896.0,664.226,62,0,0.625
full,pilot30,repo-scope,task-6905333b74f22949d97ba9a4,1.0,False,,2045797,74179.0,1020.902,39,0,1.0
full,pilot30,repo-scope,task-6905333b74f22949d97ba9a5,1.0,False,,2271152,50589.0,1209.505,59,0,1.0
full,pilot30,repo-scope,task-6905333b74f22949d97ba9a6,0.8181818181818182,False,,6055543,155265.0,5968.026,191,0,0.8181818181818182
full,pilot30,repo-scope,task-6905333b74f22949d97ba9a7,1.0,False,,1967583,54632.0,1415.951,60,0,1.0
full,pilot30,repo-scope,task-6905333b74f22949d97ba9a8,1.0,False,,2941025,79560.0,1284.125,55,0,1.0
full,pilot30,repo-scope,task-6905333b74f22949d97ba9a9,0.4,False,,5639814,75041.0,2066.356,117,0,0.4
full,pilot30,repo-scope,task-6905333b74f22949d97ba9aa,0.6666666666666666,False,,3407159,100574.0,1807.31,53,0,0.6666666666666666
full,pilot30,repo-scope,task-6905333b74f22949d97ba9ab,0.0,True,gateway_stall,3048917,,,59,0,
full,pilot30,repo-scope,task-6905333b74f22949d97ba9ac,0.6,False,,4515117,68657.0,1529.637,95,0,0.6
full,pilot30,repo-scope,task-6905333b74f22949d97ba9ad,0.0,True,other,4077289,80624.0,1571.29,81,0,
full,pilot30,repo-scope,task-6905333b74f22949d97ba9ae,0.5833333333333334,False,,3689019,63940.0,1219.829,84,0,0.5833333333333334
full,pilot30,repo-scope,task-6905333b74f22949d97ba9af,0.7692307692307693,False,,3113193,65969.0,1350.844,65,0,0.7692307692307693
full,pilot30,repo-scope,task-6905333b74f22949d97ba9b2,1.0,False,,1636857,49439.0,585.741,51,0,1.0
full,pilot30,repo-scope,task-6905333b74f22949d97ba9e8,0.6666666666666666,False,,2620133,48208.0,1043.794,78,0,0.6666666666666666
full,pilot30,repo-scope,task-6905333b74f22949d97baa1d,0.875,False,,2021420,49359.0,859.438,75,0,0.875
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d0,0.0,True,other,2451840,57187.0,754.661,67,0,
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d1,0.75,False,,1852210,41794.0,859.325,66,0,0.75
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d2,1.0,False,,2068996,59716.0,520.155,53,0,1.0
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d3,0.8181818181818182,False,,2174990,63364.0,509.689,53,0,0.8181818181818182
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d4,0.7272727272727273,False,,2356817,51978.0,598.72,72,0,0.7272727272727273
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d5,0.7857142857142857,False,,1427113,54622.0,324.315,39,0,0.7857142857142857
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d6,0.9,False,,1662141,61241.0,371.348,40,0,0.9
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d7,0.9230769230769231,False,,2072376,40464.0,644.133,86,0,0.9230769230769231
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d8,0.75,False,,2296588,61017.0,512.202,46,0,0.75
full,pilot30,repo-scope,task-6905333b74f22949d97ba9d9,0.7,False,,1069373,49482.0,328.905,32,0,0.7
full,pilot30,repo-scope,task-6905333b74f22949d97ba9db,0.9166666666666666,False,,1677557,76044.0,447.769,34,0,0.9166666666666666
full,pilot30,repo-scope,task-6905333b74f22949d97ba9dc,0.875,False,,3473235,73157.0,911.058,77,0,0.875
full,pilot30,repo-scope,task-6905333b74f22949d97ba9dd,0.6,False,,2507496,54999.0,792.391,65,0,0.6
full,pilot30,repo-scope,task-6905333b74f22949d97ba9de,0.4444444444444444,False,,4734715,90822.0,1403.052,76,0,0.4444444444444444
full,pilot30,repo-scope,task-6905333b74f22949d97ba9e0,0.5,False,,2936695,62074.0,617.421,76,0,0.5
full,shuffle1,control,task-6905333b74f22949d97ba9ac,0.6,False,,2843828,63296.0,929.983,69,0,0.6
full,shuffle1,control,task-6905333b74f22949d97ba9ae,0.5,False,,1428175,46713.0,651.531,44,0,0.5
