replicate,repository,position,notes_added,chars_added,cum_notes,cum_chars
ctxlimit,paperless-ngx/paperless-ngx,1,3,2249,3,2249
ctxlimit,paperless-ngx/paperless-ngx,2,3,2010,6,4259
ctxlimit,paperless-ngx/paperless-ngx,3,2,1662,8,5921
ctxlimit,paperless-ngx/paperless-ngx,4,0,0,8,5921
ctxlimit,paperless-ngx/paperless-ngx,5,0,0,8,5921
ctxlimit,paperless-ngx/paperless-ngx,6,0,0,8,5921
ctxlimit,paperless-ngx/paperless-ngx,7,5,4132,13,10053
ctxlimit,paperless-ngx/paperless-ngx,8,0,0,13,10053
ctxlimit,paperless-ngx/paperless-ngx,9,3,3782,16,13835
ctxlimit,paperless-ngx/paperless-ngx,10,0,0,16,13835
ctxlimit,paperless-ngx/paperless-ngx,11,3,2562,19,16397
ctxlimit,paperless-ngx/paperless-ngx,12,1,1900,20,18297
ctxlimit,paperless-ngx/paperless-ngx,13,4,3957,24,22254
ctxlimit,paperless-ngx/paperless-ngx,14,1,787,25,23041
ctxlimit,paperless-ngx/paperless-ngx,15,1,368,26,23409
ctxlimit,simple-login/app,1,2,1498,2,1498
ctxlimit,simple-login/app,2,1,449,3,1947
ctxlimit,simple-login/app,3,1,577,4,2524
ctxlimit,simple-login/app,4,3,2171,7,4695
ctxlimit,simple-login/app,5,1,676,8,5371
ctxlimit,simple-login/app,6,1,1009,9,6380
ctxlimit,simple-login/app,7,0,0,9,6380
ctxlimit,simple-login/app,8,0,0,9,6380
ctxlimit,simple-login/app,9,2,2315,11,8695
ctxlimit,simple-login/app,10,1,856,12,9551
ctxlimit,simple-login/app,11,0,0,12,9551
ctxlimit,simple-login/app,12,3,3010,15,12561
ctxlimit,simple-login/app,13,6,3421,21,15982
ctxlimit,simple-login/app,14,1,1953,22,17935
ctxlimit,simple-login/app,15,3,2014,25,19949
ctxlimit-rerun1,paperless-ngx/paperless-ngx,1,1,1098,1,1098
ctxlimit-rerun1,paperless-ngx/paperless-ngx,2,1,1024,2,2122
ctxlimit-rerun1,paperless-ngx/paperless-ngx,3,0,0,2,2122
ctxlimit-rerun1,paperless-ngx/paperless-ngx,4,1,349,3,2471
ctxlimit-rerun1,paperless-ngx/paperless-ngx,5,2,1162,5,3633
ctxlimit-rerun1,paperless-ngx/paperless-ngx,6,1,542,6,4175
ctxlimit-rerun1,paperless-ngx/paperless-ngx,7,4,3087,10,7262
ctxlimit-rerun1,paperless-ngx/paperless-ngx,8,1,987,11,8249
ctxlimit-rerun1,paperless-ngx/paperless-ngx,9,4,3479,15,11728
ctxlimit-rerun1,paperless-ngx/paperless-ngx,10,1,675,16,12403
ctxlimit-rerun1,paperless-ngx/paperless-ngx,11,6,5333,22,17736
ctxlimit-rerun1,paperless-ngx/paperless-ngx,12,6,3539,28,21275
ctxlimit-rerun1,paperless-ngx/paperless-ngx,13,5,4822,33,26097
ctxlimit-rerun1,paperless-ngx/paperless-ngx,14,13,7867,46,33964
ctxlimit-rerun1,paperless-ngx/paperless-ngx,15,6,2724,52,36688
ctxlimit-rerun1,simple-login/app,1,5,2111,5,2111
ctxlimit-rerun1,simple-login/app,2,2,1059,7,3170
ctxlimit-rerun1,simple-login/app,3,7,3524,14,6694
ctxlimit-rerun1,simple-login/app,4,4,2177,18,8871
ctxlimit-rerun1,simple-login/app,5,0,0,18,8871
ctxlimit-rerun1,simple-login/app,6,6,3934,24,12805
ctxlimit-rerun1,simple-login/app,7,0,0,24,12805
ctxlimit-rerun1,simple-login/app,8,2,1851,26,14656
ctxlimit-rerun1,simple-login/app,9,7,3946,33,18602
ctxlimit-rerun1,simple-login/app,10,2,1143,35,19745
ctxlimit-rerun1,simple-login/app,11,1,637,36,20382
ctxlimit-rerun1,simple-login/app,12,4,2870,40,23252
ctxlimit-rerun1,simple-login/app,13,1,2261,41,25513
ctxlimit-rerun1,simple-login/app,14,6,3736,47,29249
ctxlimit-rerun1,simple-login/app,15,1,601,48,29850
ctxlimit-rerun2,paperless-ngx/paperless-ngx,1,2,857,2,857
ctxlimit-rerun2,paperless-ngx/paperless-ngx,2,3,2449,5,3306
ctxlimit-rerun2,paperless-ngx/paperless-ngx,3,1,557,6,3863
ctxlimit-rerun2,paperless-ngx/paperless-ngx,4,4,3219,10,7082
ctxlimit-rerun2,paperless-ngx/paperless-ngx,5,4,3045,14,10127
ctxlimit-rerun2,paperless-ngx/paperless-ngx,6,0,0,14,10127
ctxlimit-rerun2,paperless-ngx/paperless-ngx,7,5,3733,19,13860
ctxlimit-rerun2,paperless-ngx/paperless-ngx,8,1,882,20,14742
ctxlimit-rerun2,paperless-ngx/paperless-ngx,9,5,3836,25,18578
ctxlimit-rerun2,paperless-ngx/paperless-ngx,10,0,0,25,18578
ctxlimit-rerun2,paperless-ngx/paperless-ngx,11,1,751,26,19329
ctxlimit-rerun2,paperless-ngx/paperless-ngx,12,4,2355,30,21684
ctxlimit-rerun2,paperless-ngx/paperless-ngx,13,3,2500,33,24184
ctxlimit-rerun2,paperless-ngx/paperless-ngx,14,0,0,33,24184
ctxlimit-rerun2,paperless-ngx/paperless-ngx,15,1,696,34,24880
ctxlimit-rerun2,simple-login/app,1,3,2328,3,2328
ctxlimit-rerun2,simple-login/app,2,4,2256,7,4584
ctxlimit-rerun2,simple-login/app,3,1,420,8,5004
ctxlimit-rerun2,simple-login/app,4,4,2981,12,7985
